,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
6381394,MUT,2008-11-12 09:55,-91.1406,41.367,44.60,44.60,100.00,150.00,6.00,M,29.91,M,4.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.71,M
2996452,CIN,2008-05-29 21:12,-94.7889,42.0444,62.00,60.00,93.15,130.00,14.00,M,29.89,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.00,M
7138575,CRS,2008-12-18 03:53,-96.4,32.03,48.02,46.94,96.02,0.00,0.00,M,30.17,1021.80,0.25,M,VV ,   ,   ,M,100.00,M,M,M,FG,M,M,M,M,M,M,48.02,METAR KCRS 180353Z AUTO 00000KT 1/4SM FG VV001 09/08 A3017 RMK AO2 SLP218 T00890083
310551,PPA,2008-01-16 09:09,-100.9963,35.613,32.00,28.40,86.39,190.00,9.00,M,29.65,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,23.51,METAR KPPA 160909Z AUTO 19009KT 10SM CLR 00/M02 A2965 RMK AO2
2092933,CPT,2008-04-13 13:25,-97.4338,32.3537,51.80,41.00,66.48,350.00,8.00,M,30.33,M,10.00,M,OVC,   ,   ,M,12000.00,M,M,M,M,M,M,M,M,M,M,51.80,METAR KCPT 131325Z AUTO 35008KT 10SM OVC120 11/05 A3033 RMK AO2
2803869,ORC,2008-05-20 03:04,-96.0606,42.9895,65.00,46.00,50.14,340.00,6.00,M,29.65,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,65.00,M
5459135,TVK,2008-09-28 18:22,-92.8983,40.6832,73.00,64.00,M,M,M,M,30.17,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6297443,ASJ,2008-11-08 05:43,-77.17,36.3,55.40,51.80,87.65,170.00,4.00,M,29.83,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,55.40,METAR KASJ 080543Z AUTO 17004KT 10SM CLR 13/11 A2983 RMK AO2
4097273,CAV,2008-07-23 06:55,-93.7593,42.743,64.40,62.60,93.88,90.00,5.00,M,30.13,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,M
1279171,E38,2008-03-04 11:05,-103.684,30.384,30.20,12.20,46.62,0.00,0.00,M,30.10,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,30.20,METAR KE38 041105Z AUTO 00000KT 10SM CLR M01/M11 A3010 RMK AO2
2576486,LBT,2008-05-08 11:54,-79.06,34.61,69.08,64.04,83.98,220.00,6.00,M,29.95,1014.10,10.00,M,SCT,BKN,   ,M,2600.00,11000.00,M,M,M,M,M,M,M,M,M,69.08,METAR KLBT 081154Z AUTO 22006KT 10SM SCT026 BKN110 21/18 A2995 RMK AO2 SLP141 T02060178 10206 20178 53012
5573583,RWI,2008-10-04 04:53,-77.8919,35.8563,50.00,48.92,96.05,0.00,0.00,M,30.12,1020.00,3.00,M,CLR,   ,   ,M,M,M,M,M,BR,M,M,M,M,M,M,50.00,METAR KRWI 040453Z AUTO 00000KT 3SM BR CLR 10/09 A3012 RMK AO2 SLP200 T01000094 402330061
3060748,UIL,2008-06-02 06:53,-124.5626,47.9366,48.92,44.96,86.13,0.00,0.00,M,30.17,1021.60,10.00,M,OVC,   ,   ,M,4200.00,M,M,M,M,M,M,M,M,M,M,48.92,METAR KUIL 020653Z AUTO 00000KT 10SM OVC042 09/07 A3017 RMK AO2 SLP216 T00940072 TSNO
3958661,GGI,2008-07-16 13:55,-92.7332,41.7097,77.00,69.00,76.36,160.00,6.00,M,30.09,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,M
1693365,BVS,2008-03-23 14:10,-122.42,48.47,44.60,39.20,81.20,160.00,15.00,M,30.00,M,10.00,24.00,SCT,BKN,OVC,M,1700.00,4100.00,4900.00,M,M,M,M,M,M,M,M,37.11,METAR KBVS 231410Z AUTO 16015G24KT 10SM SCT017 BKN041 OVC049 07/04 A3000 RMK A01 P000
7230143,CCY,2008-12-22 14:53,-92.6132,43.073,-11.00,-15.00,81.85,260.00,5.00,M,30.41,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-24.67,M
3084306,UIL,2008-06-03 10:53,-124.5626,47.9366,48.92,46.94,92.84,80.00,3.00,0.08,29.82,1009.60,5.00,M,OVC,   ,   ,M,1700.00,M,M,M,-RA BR,M,M,M,M,M,M,48.03,METAR KUIL 031053Z AUTO 08003KT 5SM -RA BR OVC017 09/08 A2982 RMK AO2 SLP096 P0008 T00940083 TSNO
1600462,HNR,2008-03-19 05:15,-95.3355,41.5834,33.80,32.00,93.03,M,0.00,M,30.02,M,5.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.80,M
1291046,AFP,2008-03-05 00:40,-80.0771,35.0206,66.20,62.60,88.18,170.00,18.00,0.01,29.62,M,10.00,26.00,BKN,BKN,OVC,M,2100.00,2700.00,4800.00,M,-RA,M,M,M,M,M,M,66.20,METAR KAFP 050040Z AUTO 17018G26KT 10SM -RA BKN021 BKN027 OVC048 19/17 A2962 RMK AO2 P0001
4373088,SLK,2008-08-06 23:51,-74.2062,44.3853,60.98,59.00,93.19,0.00,0.00,M,29.80,1008.60,10.00,M,FEW,   ,   ,   ,6000.00,M,M,M,M,M,M,M,M,M,M,60.98,METAR KSLK 062351Z AUTO 00000KT 10SM FEW060 16/15 A2980 RMK AO2 SLP086 60017 T01610150 10228 20161 50003
11334,CLL,2008-01-01 14:53,-96.3639,30.5881,42.08,24.08,48.56,360.00,10.00,M,30.71,1039.90,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,35.61,METAR KCLL 011453Z 36010KT 10SM CLR 06/M04 A3071 RMK AO2 SLP399 T00561044 51036
7249967,XBP,2008-12-23 14:25,-97.8284,33.1753,32.00,32.00,100.00,150.00,5.00,M,29.99,M,1.75,M,OVC,   ,   ,M,900.00,M,M,M,BR,M,M,M,M,M,M,26.40,METAR KXBP 231425Z AUTO 15005KT 1 3/4SM BR OVC009 00/00 A2999 RMK AO2
6176684,FQD,2008-11-01 22:52,-81.9351,35.4282,66.20,35.60,32.14,0.00,0.00,M,30.29,M,10.00,M,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,66.20,METAR KFQD 012252Z AUTO 00000KT 10SM 19/02 A3029 RMK AO2
